scenario,conductor,dlr_mode,n_der,fleet_mw,storage,available_mwh,delivered_mwh,curtailed_mwh,curtailed_pct,rating_mean_a,rating_uplift_pct,corridor_loading_p95_pct,hours_corridor_over_limit,pcc_peak_mw,hours_over_export_cap,hours_voltage_high,hours_voltage_low,losses_mwh,converged_pct,reg_converged_pct,runtime_s,steps,converged_steps,capacity_factor,corridor_loading_mean_pct,hours_over_temperature,hours_q_outside_window,oltc_operations,reactor_operations,q_tracking_error_max_mvar,curtailed_corridor_mwh,curtailed_dso_trafo_mwh,curtailed_plant_mwh,curtailed_overvoltage_mwh,curtailed_export_cap_mwh,storage_discharged_mwh,storage_charged_mwh,storage_cycles,storage_shortfall_mwh,hours_reserve_short,storage_soc_mean_pct
baseline,single,0,0,0.0,0,0.0,0.0,0.0,0.0,800.0,0.0,14.901439544903697,0.0,-36.74467540989298,0.0,0.0,0.0,137.0465811837373,100.0,99.93055555555556,66.15070915222168,2880,2880,0.0,14.13941768010102,0.0,0.0,12,20,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
static_der1,single,0,1,108.0,0,47891.950500000006,47891.950500000006,0.0,0.0,800.0,0.0,54.73905020920345,0.0,58.94491503442965,0.0,0.0,0.0,840.5811860533487,100.0,100.0,746.3290977478027,2880,2880,0.615894425154321,34.72948735444191,0.0,0.0,12,18,0.46657524424827934,0.0,0.0,0.0,0.0,0.0,,,,,,
static_der2,single,0,2,198.0,0,88408.62852500001,85365.22627023942,3043.402254760583,3.442426724106433,800.0,0.0,99.99999471361961,0.0,119.77035035474113,0.0,0.0,0.0,2626.634295157314,100.0,100.0,3422.4028363227844,2880,2880,0.5988020922435425,66.62748638056708,0.0,394.0,846,200,0.499907945177549,3043.402254760583,0.0,0.0,0.0,0.0,,,,,,
static_der3,single,0,3,270.0,0,119084.99265,94230.52795516694,24854.464694833052,20.871198076051652,800.0,0.0,99.99857255824787,0.0,121.3766715890114,0.0,0.0,0.0,2538.4101016122368,100.0,100.0,5123.473304271698,2880,2880,0.4847249380409822,73.66635416418657,0.0,442.75,6450,884,0.499977816900639,24854.464694833056,0.0,0.0,0.0,0.0,,,,,,
static_der4,single,0,4,330.0,0,119139.452475,94248.60453244738,24890.84794255261,20.892196015233207,800.0,0.0,99.99870571114499,0.0,121.37667158901561,0.0,0.0,0.0,2538.442564576185,100.0,99.75694444444444,5128.650297164917,2880,2880,0.3966692109951489,73.68090594455307,0.0,442.75,6466,914,0.7434549086099898,24890.84794255261,0.0,0.0,0.0,0.0,,,,,,
static_der4_bess,single,0,4,330.0,1,119139.452475,91562.23067345623,27577.221801543765,23.147010690963615,800.0,0.0,99.99979229917969,0.0,120.59800670315904,0.0,0.0,0.0,2408.714967047935,100.0,99.79166666666667,4953.342082500458,2880,2880,0.3853629237098326,75.19878898395454,0.0,457.5,2888,120,0.6368890794203796,27577.221801543765,0.0,0.0,0.0,0.0,3890.1139956471525,4432.5,64.83523326078587,0.0,153.75,56.21684190773827
dlr1_der1,single,1,1,108.0,0,47891.950500000006,47891.950500000006,0.0,0.0,1232.1667983848415,54.020849798105196,36.07658374064218,0.0,58.94491503442965,0.0,0.0,0.0,840.5811860533487,100.0,100.0,795.7368764877319,2880,2880,0.615894425154321,22.58608426701445,0.0,0.0,12,18,0.46657524424827934,0.0,0.0,0.0,0.0,0.0,,,,,,
dlr1_der2,single,1,2,198.0,0,88408.62852500001,88408.62852500001,0.0,0.0,1232.1667983848415,54.020849798105196,72.70725766538709,0.0,136.44527304259546,0.0,0.0,0.0,2881.2354880035527,100.0,100.0,971.8957376480103,2880,2880,0.6201503123246352,45.24973508612529,0.0,394.0,846,200,0.499907945177549,0.0,0.0,0.0,0.0,0.0,,,,,,
dlr1_der3,single,1,3,270.0,0,119084.99265,118710.05709641814,374.93555358187734,0.3148470224823727,1232.1667983848415,54.020849798105196,99.97556177870794,0.0,188.64043107280713,0.0,0.0,0.0,4567.884018127954,100.0,100.0,1568.613938331604,2880,2880,0.6106484418540028,62.75403650474982,24.75,442.75,6450,884,0.4999778168975624,374.93555358187723,0.0,0.0,0.0,0.0,,,,,,
dlr1_der4,single,1,4,330.0,0,119139.452475,118752.12848695426,387.32398804574984,0.32510136650747595,1232.1667983848415,54.020849798105196,99.97802835197153,0.0,188.6404310728085,0.0,0.0,0.0,4569.704389740998,100.0,99.75694444444444,1571.8920662403107,2880,2880,0.4997985205679893,62.77765381682447,24.75,442.75,6466,914,0.7434549086112883,387.32398804574984,0.0,0.0,0.0,0.0,,,,,,
dlr1_der4_bess,single,1,4,330.0,1,119139.452475,117196.90629594687,1942.5461790531215,1.6304810360453368,1232.1667983848415,54.020849798105196,99.97409820321162,0.0,193.58896263382056,0.0,0.0,46.25,4463.929407529828,100.0,99.79166666666667,2491.7606365680695,2880,2880,0.493252972626039,64.52091929602872,11.5,457.5,2888,120,0.6368890794298796,1942.5461790531217,0.0,0.0,0.0,0.0,3890.1139956471525,4432.5,64.83523326078587,0.0,153.75,56.21684190773827
dlr2_der1,single,2,1,108.0,0,47891.950500000006,47891.950500000006,0.0,0.0,1863.0662927475157,132.88328659343946,24.806274315477477,0.0,58.94491503442965,0.0,0.0,0.0,840.5811860533487,100.0,100.0,790.8895292282104,2880,2880,0.615894425154321,14.536525087481728,0.0,0.0,12,18,0.46657524424827934,0.0,0.0,0.0,0.0,0.0,,,,,,
dlr2_der2,single,2,2,198.0,0,88408.62852500001,88408.62852500001,0.0,0.0,1863.0662927475157,132.88328659343946,50.90255170885486,0.0,136.44527304259546,0.0,0.0,0.0,2881.2354880035527,100.0,100.0,906.5813148021698,2880,2880,0.6201503123246352,29.07898830652409,0.0,394.0,846,200,0.499907945177549,0.0,0.0,0.0,0.0,0.0,,,,,,
dlr2_der3,single,2,3,270.0,0,119084.99265,119084.99265,0.0,0.0,1863.0662927475157,132.88328659343946,71.49148824162074,0.0,197.84317176053554,0.0,0.0,0.0,4607.378021937843,100.0,100.0,1100.581170797348,2880,2880,0.6125771226851852,40.4310151724374,0.0,442.75,6450,884,0.49997781689079623,0.0,0.0,0.0,0.0,0.0,,,,,,
dlr2_der4,single,2,4,330.0,0,119139.452475,119139.452475,0.0,0.0,1863.0662927475157,132.88328659343946,71.4914882416232,0.0,197.84317176053617,0.0,0.0,0.0,4610.302182249156,100.0,99.75694444444444,1097.5866780281067,2880,2880,0.5014286720328283,40.451960241027855,0.0,442.75,6466,914,0.7434549086112945,0.0,0.0,0.0,0.0,0.0,,,,,,
dlr2_der4_bess,single,2,4,330.0,1,119139.452475,119139.452475,0.0,0.0,1863.0662927475157,132.88328659343946,73.16903185489042,0.0,226.43054478229467,0.0,0.0,89.25,4657.089303736437,100.0,99.79166666666667,921.5657913684845,2880,2880,0.5014286720328283,41.92222508475454,0.0,457.5,2888,120,0.6368890794329065,0.0,0.0,0.0,0.0,0.0,3890.1139956471525,4432.5,64.83523326078587,0.0,153.75,56.21684190773827
twin_der1,twin,0,1,108.0,0,47891.950500000006,47891.950500000006,0.0,0.0,1600.0,0.0,27.352355756540927,0.0,59.535661741387145,0.0,0.0,0.0,637.9757585315728,100.0,100.0,783.6575961112976,2880,2880,0.615894425154321,17.356340150249974,0.0,0.0,10,18,0.46660302024860023,0.0,0.0,0.0,0.0,0.0,,,,,,
