time,binding_all_after,curtail_cause,curtailed_total_mw,margin_after,residual_class,viol_L1,viol_L2,viol_L3,viol_L4,worst_corridor_pct,worst_dso_trafo_pct,worst_plant_pct,pcc_p_mw,available_total_mw
2024-01-01 17:45:00+00:00,L2:SUB_B=0.001723,none,0.0,0.0,none,0,1,0,0,54.491055301170476,56.52644774461425,83.16180388563443,134.88682524601114,240.4835
2024-01-01 18:00:00+00:00,L2:SUB_B=0.0002583,none,0.0,0.0,none,0,1,0,0,60.886331713381146,56.267866651056394,83.16102818965103,201.60935176748728,247.96929999999998
2024-01-01 18:15:00+00:00,L2:SUB_B=0.00346,none,0.0,0.0,none,0,1,0,0,54.2690934943775,56.58435039281521,83.7562167371676,141.02742427483003,247.3054
2024-01-01 18:45:00+00:00,L2:SUB_B=0.003457,none,0.0,0.0,none,0,1,0,0,53.52533405496337,56.58423410841622,83.75494686174801,141.0148956814371,247.29149999999998
2024-01-01 19:00:00+00:00,L2:SUB_B=0.003626,none,0.0,0.0,none,0,1,0,0,53.44615821389728,56.58984722493054,83.81624125110137,141.61846508289264,247.9612
2024-01-01 19:15:00+00:00,L2:SUB_B=0.003528,none,0.0,0.0,none,0,1,0,0,54.12948031892231,56.58659843555288,83.78076604277376,141.26914207061748,247.5736
2024-01-01 19:30:00+00:00,L2:SUB_B=0.003555,none,0.0,0.0,none,0,1,0,0,54.67922791038103,56.58749101021555,83.79051302880185,141.3648442652629,247.6798
2024-01-01 19:45:00+00:00,L2:SUB_B=0.003647,none,0.0,0.0,none,0,1,0,0,55.15244425144572,56.59053183039995,83.823707114002,141.6973532892527,248.0485
2024-01-02 04:15:00+00:00,L2:SUB_B=0.0005726,none,0.0,0.0,none,0,1,0,0,80.91486522125558,41.1006650777543,83.3642154620412,158.72190780503436,248.1429
2024-01-02 04:45:00+00:00,L2:SUB_B=0.001583,none,0.0,0.0,none,0,1,0,0,75.56009902184361,44.568120294065935,83.4408027065464,154.13941074269118,247.5806
2024-01-02 05:00:00+00:00,L2:SUB_B=0.001982,none,0.0,0.0,none,0,1,0,0,69.52116892675639,46.250021003677254,83.54777513388359,151.98267954094402,247.9838
2024-01-02 05:45:00+00:00,L2:SUB_B=0.002498,none,0.0,0.0,none,0,1,0,0,60.95475308076488,55.13131182358325,83.51652017765664,144.71742059564284,246.7547
2024-01-02 06:15:00+00:00,L2:SUB_B=0.002555,none,0.0,0.0,none,0,1,0,0,58.32197939403153,56.55642368215852,83.42636810244338,137.70732491710226,243.6173
2024-01-02 07:30:00+00:00,L2:SUB_B=0.001392,none,0.0,0.0,none,0,1,0,0,55.00821610008442,56.51440028201873,83.0572597733096,133.71902265414374,239.1893
2024-01-02 07:45:00+00:00,L2:SUB_B=0.002851,none,0.0,0.0,none,0,1,0,0,55.95237678178693,56.56710785727861,83.51968023552902,138.69733536591622,244.7177
2024-01-04 01:15:00+00:00,L2:SUB_B=0.001648,none,0.0,0.0,none,0,1,0,0,55.99098102848861,46.45422541344475,83.50117473175929,153.77434817685824,248.39999999999998
2024-01-04 14:30:00+00:00,L2:SUB_B=0.0001876,none,0.0,0.0,none,0,1,0,0,63.62363150988398,56.26518720519594,83.1371215565946,201.40439071832063,247.7409
